group,stock_name
塑膠工業,信立
塑膠工業,勝昱
塑膠工業,世坤
紡織纖維,東隆興
紡織纖維,郡都開發
紡織纖維,新昕纖
紡織纖維,飛寶企業
建材營造業,三圓
紡織纖維,金洲
觀光餐旅,皇家美食
紡織纖維,光明
其他業,耀億
紡織纖維,銘旺實
紡織纖維,興采
紡織纖維,竣邦-KY
電機機械,健信
電機機械,金雨
電機機械,崇友
電機機械,高鋒
電機機械,福裕
電機機械,永彰
電機機械,方土霖
電機機械,江興鍛
其他業,淳紳
觀光餐旅,宏易
電機機械,協易機
電機機械,慶騰
電機機械,至興
電機機械,大詠城
其他業,晟田
PCB設備指標,科嶠
電機機械,萬在
半導體設備指標,桓達
電機機械,長佳
其他電子業,橙的
其他業,旭然
電機機械,寶緯
電機機械,健椿
電機機械,百德
電機機械,科際精密
電子代工指標,達航科技
電機機械,捷流閥業
電機機械,君帆
居家生活,唐鋒
居家生活,中美實
化學工業,大恭
化學工業,磐亞
化學工業,永純
化學工業,永捷
化學工業,大立
電池材料相關指標,美琪瑪
生技醫療業,永昕
生技醫療業,雙美
光電業,熒茂
生技醫療業,豪展
化學工業,泓瀚
生技醫療業,合一
生技醫療業,皇將
生技醫療業,合富-KY
生技醫療業,強生
半導體化學品指標,新應材
化學工業,國碳科
被動元件指標,勤凱
化學工業,誠泰科技
化學工業,晶呈科技
化學工業,台特化
觀光餐旅,大略-KY
文化創意業,桂田文創
光纖產品指標,聯光通
生技醫療業,台聯電
建材營造業,富宇
CPO矽光子,前鼎
印刷電路板指標,新復興
生技醫療業,德英
分離式元件指標,力士
綠能環保,欣厚-KY
電腦及週邊設備業,新盛力
TFT面板指標,友輝
軟板上游材料指標,亞電
文化創意業,辣椒
鋼鐵工業,金耘國際
半導體業,精拓科
資訊服務業,緯致
USB_IC指標,譜瑞-KY
砷化鎵相關指標,IET-KY
光電業,湯石照明
記憶體模組指標,廣穎
電子零組件業,亞泰
CPO矽光子,華星光
砷化鎵相關指標,環宇-KY
光電業,晶達
鋼鐵工業,榮剛
鋼鐵工業,久陽
鋼鐵工業,強新
鋼鐵工業,建錩
鋼鐵工業,華祺
鋼鐵工業,松和
資訊服務業,凱衛
資訊服務業,力新
綠能環保,中茂
建材營造業,坤悅
其他業,新鼎
資訊服務業,寶碩
資訊服務業,蒙恬
資訊服務業,凌網
建材營造業,亞昕
光電業,萬達光電
電腦及週邊設備業,安力-KY
電池材料相關指標,立凱-KY
被動元件指標,鈺鎧
光電業,雷笛克光學
TFT面板指標,智晶
光電業,天鉞電
文化創意業,智崴
半導體業,笙科
半導體業,信驊
其他業,達輝-KY
數位雲端,尚凡*
數位雲端,數字
記憶體模組指標,宜鼎
印刷電路板指標,邑昇
分離式元件指標,杰力
觀光餐旅,寶得利
半導體業,太欣
電子零組件業,系統電
資訊服務業,天剛
生技醫療業,寶島科
其他業,世紀*
光電業,光聯
數位雲端,美而快
建材營造業,士開
被動元件指標,華容
玻纖布指標,建榮
IC封測指標,立衛
其他業,馥鴻
晶圓代工指標,世界
運動休閒,正能量智能
利基型記憶體IC指標,鈺創
通信網路業,台林
電子零組件業,佳總
電腦及週邊設備業,協益
觀光餐旅,力麗店
光電業,中光電
電機機械,光譜
電腦通路指標,青雲
光電業,能率
其他業,慕康生醫
資訊服務業,中菲
資訊服務業,國眾
分離式元件指標,台半
電腦及週邊設備業,振發
綠能環保,新門
電腦及週邊設備業,東友
印刷電路板指標,高技
半導體設備指標,均豪
其他業,南良
其他電子業,佶優
建材營造業,昇益
電子零組件業,宣德
電子零組件業,同協
印刷電路板指標,霖宏
電腦及週邊設備業,富驊
半導體業,凱鈺
電腦及週邊設備業,聰泰
玻纖布指標,德宏
遊戲相關指標,智冠
其他業,新華
半導體業,中美晶
半導體業,通泰
電子零組件業,松普
其他電子業,彩富
電腦及週邊設備業,同亨
半導體設備指標,三聯
電子代工指標,凱崴
建材營造業,永信建
建材營造業,德昌
建材營造業,力麒
建材營造業,三豐
建材營造業,雙喜
建材營造業,力泰
建材營造業,豐謙
建材營造業,鉅陞
其他業,龍巖
廠務工程指標,聖暉*
建材營造業,桓鼎-KY
建材營造業,久舜
建材營造業,安倉
航運業,台聯櫃
航運業,陸海
其他業,中連
航運業,中菲行
觀光餐旅,劍湖山
觀光餐旅,亞都
觀光餐旅,老爺知
證券指標,致和證
金融保險業,台名
居家生活,德記
居家生活,全家
居家生活,寶雅*
觀光餐旅,南仁湖
證券指標,宏遠證
證券指標,康和證
證券指標,大展證
證券指標,美好證
證券指標,元大期
證券指標,福邦證
金融保險業,公勝保經
文化創意業,寬魚國際
半導體業,合邦
USB_IC指標,創惟
通信網路業,亞元
文化創意業,光聚晶電
IC零組件通路商指標,亞矽
電子零組件業,久威
電腦通路指標,建達
週邊產品指標,新普
電機機械,擎邦
資訊服務業,上奇
散熱模組指標,業強
半導體設備指標,廣運
電子零組件業,信音
被動元件指標,九豪
LCD驅動IC指標,普誠
生技醫療業,上亞科技
電子零組件業,萬旭
AI伺服器_電源供應,茂達
資訊服務業,訊達
通信網路業,振曜
文化創意業,得利影
電子驗證相關指標,耕興
先進封裝_CoWoS,頎邦
資訊服務業,驊宏資
電腦板卡指標,撼訊
其他電子業,晉倫
電子通路業,順發
印刷電路板指標,松上
電子零組件業,禾昌
電腦及週邊設備業,欣技
電腦及週邊設備業,捷波
資訊服務業,華電網
光電業,久正
遊戲相關指標,昱泉
通信網路業,統振
建材營造業,大城地產
被動元件指標,信昌電
石英元件指標,安碁
被動元件指標,立敦
其他業,亞通
遊戲相關指標,橘子
半導體業,合晶
電子零組件業,幃翔
建材營造業,新潤
半導體設備指標,萬潤
電腦及週邊設備業,廣明
通信網路業,萬泰科
印刷電路板指標,育富
居家生活,詩肯
建材營造業,瑞築
其他業,天品
電子零組件業,海韻電
被動元件指標,艾華
半導體設備指標,雷科
半導體設備指標,日揚
